supplier,activity_code,frequency
SUN PRINT MANAGEMENT,WP230,8
SUNFIRE MATRIX INC.,PL150,22
SURANCEBAY LLC,PL150,22
Science Soft USA Corporation,SC800,4
"Shred-it, C/O Stericycle, Inc.",SC500,8
Snowflake Inc,PL210,3
Software One,WP210,4
T-MOBILE USA INC,IN360,4
TALKDESK INC,IN360,8
TATA CONSULTANCY SERVICES LIMITED,SC610,3
TAYLOR WHITE,DL340,24
TECH MAHINDRA LIMITED,WP100,4
TECHFICIENT HOLDINGS LLC,BS310,16
TESTINGXPERTS INC,DL240,3
THE DRI LLC,DL500,4
THE MAYNARD GROUP INC.,IN360,5
THINK 2 PERFORM,IN330,8
THOMAS GOLD SOLUTIONS LLC,BS320,7
THOMSON REUTERS - WEST,SC400,8
TNT CONNECTIONS INC.,WP100,3
TOSHIBA FINANCIAL SERVICES,WP230,3
TRUE NORTH INTEGRATIONS LLC,SC610,8
TWILIO INC,DL350,3
US Bank,WP230,9
VANILLASOFT CORP,BS310,7
VERIFY COMPLY,DL340,4
VERIZON PENNSYLVANIA LLC,IN360,15
VERTAFORE,BS150,31
VERTAFORE INC,BS150,30
VILETECH INC,WP100,7
Verizon Wireless,IN360,21
WELLS FARGO FINANCIAL LEASING INC,WP230,17
WEX Health Inc.,IN100,4
WILCO SOURCE LLC,WP310,4
WISTIA INC,PL110,4
WITBLADE LLC,BS320,4
WOLTERS KLUWER FINANCIAL SERVICES INC,SC600,3
WOW  BUSINESS,IN330,9
WURSTA CORPORATION,IN330,4
ZINNIA DISTRIBUTOR SOLUTIONS LLC,BS320,23
ZOOM VIDEO COMMUNICATIONS INC,WP220,5
ZOOMINFO TECHNOLOGIES LLC,IN360,9
